Food Name,State,Type,Allergic Ingredients,Total Calories,Total Carbs,Total Fats,Total Protein,Total Sugar,Total Sodium,Vitamin Content,Rasa (Taste),Guna (Qualities),Virya (Potency),Vipaka (Post-digestive Effect),Prabhava (Special Effect),Dosha Impact,Mapped_Ingredients
Pork Vindaloo,Jharkhand,Non-Veg,None,650,25,35,20,6,700,Vitamin B,"Sweet, Salty; Astringent, Sweet","Heavy, Oily; Light, Dry",Heating,Sweet; Pungent,Strength-giving; Protein-rich,"Balances Vata, may aggravate Pitta & Kapha; Balances Kapha & Pitta, may aggravate Vata","Pork, Vindaloo"
Bhindi Masala,Jharkhand,Veg,None,200,15,10,5,3,300,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Okra
Baigan Bharta,Jharkhand,Veg,None,300,25,15,10,6,350,Vitamin C,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Baigan, Bharta"
Chana Dal,Jharkhand,Veg,None,350,55,10,12,4,450,Vitamin B,"Astringent, Sweet","Heavy, Dry; Light, Dry",Cooling,Pungent,"Grounding, protein-rich; Protein-rich, cleansing","May aggravate Vata & Kapha; Balances Kapha & Pitta, may aggravate Vata","Chickpea, Lentil"
Samosa Chaat,Jharkhand,Veg,Gluten,400,60,20,15,10,500,Vitamin A,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Samosa, Chaat"
Murgi Kofta,Jharkhand,Non-Veg,None,550,20,35,25,7,600,Vitamin B,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Murgi, Kofta"
Fish Curry,Jharkhand,Non-Veg,None,450,10,25,15,5,550,Vitamin B,"Sweet, Salty","Heavy, Oily",Heating,Sweet,Strength-giving,"Balances Vata, may aggravate Pitta & Kapha",Fish
Pakora,Jharkhand,Veg,Gluten,300,35,15,12,5,450,Vitamin A,,,,,,,
Mutton Keema,Jharkhand,Non-Veg,None,500,15,30,20,8,600,Vitamin B,"Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Mutton, Keema"
Vegetable Curry,Jharkhand,Veg,None,350,45,12,10,4,400,Vitamin C,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Vegetable
Fish Fry,Jharkhand,Non-Veg,None,400,10,25,15,5,500,Vitamin B,"Sweet, Salty","Heavy, Oily",Heating,Sweet,Strength-giving,"Balances Vata, may aggravate Pitta & Kapha",Fish
Vegetable Korma,Jharkhand,Veg,None,400,50,15,10,6,500,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Vegetable, Korma"
Chole,Jharkhand,Veg,None,350,60,8,15,4,500,"Vitamin B, C","Astringent, Sweet","Heavy, Dry",Cooling,Pungent,"Grounding, protein-rich",May aggravate Vata & Kapha,Chickpea
Chicken Biryani,Jharkhand,Non-Veg,None,650,85,25,30,15,750,"Vitamin B, C","Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Chicken, Biryani"
Chana Chaat,Jharkhand,Veg,None,250,45,10,12,6,300,Vitamin C,"Astringent, Sweet; Varies (Sweet/Astringent/Bitter)","Heavy, Dry; Light to Heavy, Dry to Oily (Varies)",Cooling,Pungent; Sweet or Pungent,"Grounding, protein-rich; Nourishing, Satiety-giving","May aggravate Vata & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Chickpea, Chaat"
Masala Dosa,Jharkhand,Veg,Gluten,350,55,15,12,5,400,Vitamin B,,,,,,,
Pork Curry,Jharkhand,Non-Veg,None,550,25,30,20,8,600,Vitamin B,"Sweet, Salty","Heavy, Oily",Heating,Sweet,Strength-giving,"Balances Vata, may aggravate Pitta & Kapha",Pork
Vegetable Soup,Jharkhand,Veg,None,100,15,2,4,2,200,Vitamin C,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Vegetable, Soup"
Mutton Biryani,Jharkhand,Non-Veg,None,650,80,25,30,15,750,"Vitamin B, C","Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Mutton, Biryani"
Chana Madra,Himachal Pradesh,Veg,Dairy,250,35,8,10,6,500,"Vitamin B, C","Astringent, Sweet; Varies (Sweet/Astringent/Bitter)","Heavy, Dry; Light to Heavy, Dry to Oily (Varies)",Cooling,Pungent; Sweet or Pungent,"Grounding, protein-rich; Nourishing, Satiety-giving","May aggravate Vata & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Chickpea, Madra"
Siddu,Himachal Pradesh,Veg,Gluten,300,40,12,7,8,400,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Siddu
Chana Dal,Himachal Pradesh,Veg,None,200,35,4,10,2,300,Vitamin B,"Astringent, Sweet","Heavy, Dry; Light, Dry",Cooling,Pungent,"Grounding, protein-rich; Protein-rich, cleansing","May aggravate Vata & Kapha; Balances Kapha & Pitta, may aggravate Vata","Chickpea, Lentil"
Pateer,Himachal Pradesh,Veg,Dairy,350,45,15,12,5,450,"Vitamin A, B",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Pateer
Dham,Himachal Pradesh,Veg,None,400,50,18,15,10,600,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Dham
Bhaat,Himachal Pradesh,Veg,None,220,50,5,7,1,300,Vitamin B,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Bhaat
Khatta Meat,Himachal Pradesh,Non-Veg,None,500,20,25,30,3,700,"Vitamin B, C",Sweet; Varies (Sweet/Astringent/Bitter),"Light, Soft; Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet; Sweet or Pungent,"Nourishing; Nourishing, Satiety-giving","Balances Vata & Pitta, may increase Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Khatta, Meat"
Thukpa,Himachal Pradesh,Non-Veg,None,350,40,10,20,6,500,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Thukpa
Kullu Trout,Himachal Pradesh,Non-Veg,None,250,5,20,25,1,400,"Vitamin B, D",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Kullu, Trout"
Pulao,Himachal Pradesh,Veg,None,300,60,10,8,5,400,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Pulao
Raita,Himachal Pradesh,Veg,Dairy,150,10,5,6,8,200,"Vitamin A, C",,,,,,,
Rogan Josh,Himachal Pradesh,Non-Veg,None,450,20,30,25,3,600,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Rogan, Josh"
Aloo Ka Raita,Himachal Pradesh,Veg,Dairy,180,15,6,5,7,220,"Vitamin A, C","Sweet, Astringent","Heavy, Dry",Cooling,Sweet,Satiety-giving,"Balances Pitta, aggravates Vata & Kapha",Potato
Chole Bhature,Himachal Pradesh,Veg,Gluten,600,80,25,15,10,800,Vitamin B,"Astringent, Sweet; Varies (Sweet/Astringent/Bitter)","Heavy, Dry; Light to Heavy, Dry to Oily (Varies)",Cooling,Pungent; Sweet or Pungent,"Grounding, protein-rich; Nourishing, Satiety-giving","May aggravate Vata & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Chickpea, Bhature"
Himachali Kadi,Himachal Pradesh,Veg,Dairy,220,15,7,8,6,250,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Himachali, Kadi"
Himachali Chicken Curry,Himachal Pradesh,Non-Veg,None,500,15,30,35,4,650,"Vitamin B, C","Varies (Sweet/Astringent/Bitter); Sweet, Salty","Light to Heavy, Dry to Oily (Varies); Heavy, Oily",Heating,Sweet or Pungent; Sweet,"Nourishing, Satiety-giving; Strength-giving","Generally balances Pitta, effects on Vata/Kapha vary; Balances Vata, may aggravate Pitta & Kapha","Himachali, Chicken"
Paneer Tikka,Himachal Pradesh,Veg,Dairy,250,10,15,18,3,300,"Vitamin A, B",Sweet; Varies (Sweet/Astringent/Bitter),"Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet; Sweet or Pungent,"Nourishing; Nourishing, Satiety-giving","Balances Vata, increases Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Paneer, Tikka"
Tandoori Chicken,Himachal Pradesh,Non-Veg,None,350,10,25,30,2,500,"Vitamin B, C","Varies (Sweet/Astringent/Bitter); Sweet, Salty","Light to Heavy, Dry to Oily (Varies); Heavy, Oily",Heating,Sweet or Pungent; Sweet,"Nourishing, Satiety-giving; Strength-giving","Generally balances Pitta, effects on Vata/Kapha vary; Balances Vata, may aggravate Pitta & Kapha","Tandoori, Chicken"
Gahat Ki Dal,Himachal Pradesh,Veg,None,220,40,5,12,1,350,"Vitamin B, C","Varies (Sweet/Astringent/Bitter); Astringent, Sweet","Light to Heavy, Dry to Oily (Varies); Light, Dry",Cooling,Sweet or Pungent; Pungent,"Nourishing, Satiety-giving; Protein-rich, cleansing","Generally balances Pitta, effects on Vata/Kapha vary; Balances Kapha & Pitta, may aggravate Vata","Gahat, Lentil"
Khatta,Himachal Pradesh,Veg,None,270,20,10,15,8,300,Vitamin C,Sweet,"Light, Soft",Cooling,Sweet,Nourishing,"Balances Vata & Pitta, may increase Kapha",Khatta
Mutton Korma,Himachal Pradesh,Non-Veg,None,550,20,35,30,5,700,"Vitamin B, C","Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Mutton, Korma"
Noodles,Himachal Pradesh,Veg,None,350,60,12,8,6,450,Vitamin B,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Noodles
Veggie Pakoras,Himachal Pradesh,Veg,Gluten,400,30,25,10,5,600,"Vitamin A, C","Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Veggie, Pakoras"
Butter Chicken,Himachal Pradesh,Non-Veg,Dairy,500,15,30,35,8,700,"Vitamin B, C","Sweet; Sweet, Salty","Heavy, Oily, Soft; Heavy, Oily",Heating,Sweet,"Promotes memory, nourishes tissues; Strength-giving","Balances Vata & Pitta, increases Kapha; Balances Vata, may aggravate Pitta & Kapha","Ghee, Chicken"
Rajma,Himachal Pradesh,Veg,None,250,40,5,10,2,300,"Vitamin B, C","Astringent, Sweet","Light, Dry",Cooling,Pungent,Protein-rich,"Balances Kapha & Pitta, may aggravate Vata",Kidney beans
Cucumber Salad,Himachal Pradesh,Veg,None,80,10,1,2,3,120,Vitamin C,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Cucumber
Methi Thepla,Himachal Pradesh,Veg,Gluten,300,50,10,8,6,400,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Methi, Thepla"
Chana Samosa,Himachal Pradesh,Veg,Gluten,250,30,12,8,5,350,"Vitamin B, C","Astringent, Sweet; Varies (Sweet/Astringent/Bitter)","Heavy, Dry; Light to Heavy, Dry to Oily (Varies)",Cooling,Pungent; Sweet or Pungent,"Grounding, protein-rich; Nourishing, Satiety-giving","May aggravate Vata & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Chickpea, Samosa"
Aloo Keema,Himachal Pradesh,Non-Veg,None,400,20,20,25,4,600,"Vitamin B, C","Sweet, Astringent; Varies (Sweet/Astringent/Bitter)","Heavy, Dry; Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet; Sweet or Pungent,"Satiety-giving; Nourishing, Satiety-giving","Balances Pitta, aggravates Vata & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Potato, Keema"
Kadha Prashad,Himachal Pradesh,Veg,Dairy,300,60,8,5,10,350,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Kadha, Prashad"
Ginger Tea,Himachal Pradesh,Veg,None,80,5,0,0,0,50,Vitamin C,"Pungent (fresh), Sweet (dried); Varies (Sweet/Astringent/Bitter)","Light, Dry; Light to Heavy, Dry to Oily (Varies)",Heating,"Sweet (fresh), Pungent (dry); Sweet or Pungent","Digestive stimulant; Nourishing, Satiety-giving","Balances Vata & Kapha, may aggravate Pitta; Generally balances Pitta, effects on Vata/Kapha vary","Ginger, Tea"
Bhutte Ka Kees,Himachal Pradesh,Veg,Dairy,200,30,8,6,9,250,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Bhutte, Kees"
Masala Dosa,Himachal Pradesh,Veg,Gluten,350,50,15,10,5,400,"Vitamin A, B",,,,,,,
Himachali Rice Pudding,Himachal Pradesh,Veg,Dairy,350,60,10,20,15,400,"Vitamin A, C",Varies (Sweet/Astringent/Bitter); Sweet,"Light to Heavy, Dry to Oily (Varies); Light, Soft",Cooling,Sweet or Pungent; Sweet,"Nourishing, Satiety-giving; Nourishing","Generally balances Pitta, effects on Vata/Kapha vary; Balances Vata & Pitta, may increase Kapha","Himachali, Rice, Pudding"
Egg Curry,Himachal Pradesh,Non-Veg,None,400,10,20,25,2,500,"Vitamin B, C","Sweet, Salty","Heavy, Oily",Heating,Sweet,Strength-giving,"Balances Vata, may aggravate Pitta & Kapha",Egg
Vegetable Soup,Himachal Pradesh,Veg,None,150,15,5,7,3,200,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Vegetable, Soup"
Himachali Roti,Himachal Pradesh,Veg,Gluten,250,40,5,7,2,300,Vitamin B,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Himachali, Roti"
Kangri Dham,Himachal Pradesh,Veg,Dairy,300,50,15,12,7,400,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Kangri, Dham"
Veg Pulao,Himachal Pradesh,Veg,None,350,60,8,10,6,450,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Veg, Pulao"
Petha,Himachal Pradesh,Veg,None,200,50,0,30,20,150,Vitamin C,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Petha
Aloo Ki Subzi,Himachal Pradesh,Veg,None,250,35,8,6,4,300,"Vitamin B, C","Sweet, Astringent; Varies (Sweet/Astringent/Bitter)","Heavy, Dry; Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet; Sweet or Pungent,"Satiety-giving; Nourishing, Satiety-giving","Balances Pitta, aggravates Vata & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Potato, Subzi"
Paneer Butter Masala,Himachal Pradesh,Veg,Dairy,400,20,25,18,10,500,"Vitamin A, B",Sweet,"Heavy, Oily; Heavy, Oily, Soft",Cooling,Sweet,"Nourishing; Promotes memory, nourishes tissues","Balances Vata, increases Kapha; Balances Vata & Pitta, increases Kapha","Paneer, Ghee"
Himachali Kachori,Himachal Pradesh,Veg,Gluten,350,50,18,10,8,450,Vitamin B,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Himachali, Kachori"
Kashmiri Saag,Himachal Pradesh,Veg,None,300,15,10,12,4,250,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Kashmiri, Saag"
Mutton Stew,Himachal Pradesh,Non-Veg,None,500,20,30,35,6,700,"Vitamin B, C","Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Mutton, Stew"
Puri,Himachal Pradesh,Veg,Gluten,250,40,15,10,4,300,Vitamin B,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Puri
Vegetable Biryani,Himachal Pradesh,Veg,None,400,70,12,10,5,500,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Vegetable, Biryani"
Mutton Shami Kebab,Himachal Pradesh,Non-Veg,None,400,15,20,30,3,600,"Vitamin B, C","Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Mutton, Shami"
Himachali Thali,Himachal Pradesh,Veg,Dairy,600,80,25,15,12,800,"Vitamin A, B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Himachali, Thali"
Chicken Momos,Himachal Pradesh,Non-Veg,None,350,30,15,20,5,400,"Vitamin B, C","Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Chicken, Momos"
Channa Chaat,Himachal Pradesh,Veg,None,200,25,5,8,2,250,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Channa, Chaat"
Bhindi Masala,Himachal Pradesh,Veg,None,180,15,7,6,4,200,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Okra
Himachali Saag,Himachal Pradesh,Veg,None,250,20,10,8,5,300,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Himachali, Saag"
Mutton Kofta,Himachal Pradesh,Non-Veg,None,500,20,30,35,4,700,"Vitamin B, C","Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Mutton, Kofta"
Vegetable Korma,Himachal Pradesh,Veg,Dairy,400,35,15,12,7,450,"Vitamin A, B",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Vegetable, Korma"
Chana Pulao,Himachal Pradesh,Veg,None,300,60,8,10,5,400,"Vitamin B, C","Astringent, Sweet; Varies (Sweet/Astringent/Bitter)","Heavy, Dry; Light to Heavy, Dry to Oily (Varies)",Cooling,Pungent; Sweet or Pungent,"Grounding, protein-rich; Nourishing, Satiety-giving","May aggravate Vata & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Chickpea, Pulao"
Himachali Khichdi,Himachal Pradesh,Veg,None,350,55,10,12,4,450,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Himachali, Khichdi"
Vegetable Cutlet,Himachal Pradesh,Veg,Gluten,250,30,10,5,7,350,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Vegetable
Fish Curry,Himachal Pradesh,Non-Veg,None,400,10,25,30,4,500,"Vitamin B, D","Sweet, Salty","Heavy, Oily",Heating,Sweet,Strength-giving,"Balances Vata, may aggravate Pitta & Kapha",Fish
Himachali Chutney,Himachal Pradesh,Veg,None,100,10,2,4,6,150,Vitamin C,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Himachali
Kadhi Pakora,Himachal Pradesh,Veg,Dairy,350,30,15,12,10,400,"Vitamin A, B",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Kadhi
Ginger Lemon Tea,Himachal Pradesh,Veg,None,70,7,0,2,1,50,Vitamin C,"Pungent (fresh), Sweet (dried); Sweet, Astringent; Varies (Sweet/Astringent/Bitter)","Light, Dry; Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,"Sweet (fresh), Pungent (dry); Sweet; Sweet or Pungent","Digestive stimulant; Nourishing, rejuvenating; Nourishing, Satiety-giving","Balances Vata & Kapha, may aggravate Pitta; Balances Vata, may aggravate Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Ginger, Lemon, Tea"
Himachali Paneer Tikka,Himachal Pradesh,Veg,Dairy,300,15,20,18,5,350,"Vitamin A, B",Varies (Sweet/Astringent/Bitter); Sweet,"Light to Heavy, Dry to Oily (Varies); Heavy, Oily",Cooling,Sweet or Pungent; Sweet,"Nourishing, Satiety-giving; Nourishing","Generally balances Pitta, effects on Vata/Kapha vary; Balances Vata, increases Kapha","Himachali, Paneer, Tikka"
Mutton Rogan Josh,Himachal Pradesh,Non-Veg,None,550,15,35,30,6,700,"Vitamin B, C","Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Mutton, Rogan, Josh"
Veg Pakoras,Himachal Pradesh,Veg,Gluten,400,35,20,12,7,500,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Veg, Pakoras"
Aloo Paratha,Himachal Pradesh,Veg,Gluten,350,50,15,10,5,400,Vitamin B,"Sweet, Astringent","Heavy, Dry",Cooling,Sweet,Satiety-giving,"Balances Pitta, aggravates Vata & Kapha",Potato
Vegetable Stew,Himachal Pradesh,Veg,None,200,15,7,6,4,250,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Vegetable, Stew"
Mutton Biryani,Himachal Pradesh,Non-Veg,None,500,60,25,35,8,600,"Vitamin B, C","Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Mutton, Biryani"
